event_date,year,event_type,sub_event_type,actor1,actor2,admin1,admin2,admin3,location,latitude,longitude,fatalities,notes,source,timestamp,valor_riesgo
2023-01-02,2023,Violence Against Civilians,Attack,Unidentified Armed Group (Ecuador),Civilians (Ecuador),Guayas,Guayaquil,no especificado,Guayaquil - Ximena,-2.251,-79.8899,1,"On 2 January 2023, in Guayaquil - Ximena (Guayas), several unidentified armed assailants stepped out of two cars to shoot at a group of people in Guasmo North. One person was killed and five others were injured. No arrests were made and the motives remain unclear. 1 fatality.",Expreso,1754409739,2.0
2023-01-02,2023,Violence Against Civilians,Attack,Unidentified Gang (Ecuador),Civilians (Ecuador),Los Rios,Babahoyo,no especificado,Babahoyo,-1.8022,-79.5344,1,"On 2 January 2023, in Babahoyo (Los Rios), an unknown number of assailants fatally shot a man outside his home in the Munoz Rubio sector. The victim was struck by four bullets to the head. Authorities are investigating possible links between this attack and the killing of the victim's cousin hours later (coded separately). No arrests were made. 1 fatality.",Diario Extra (Ecuador),1757975685,2.0
2023-01-02,2023,Violence Against Civilians,Attack,Unidentified Gang (Ecuador),Civilians (Ecuador),Los Rios,Babahoyo,no especificado,Babahoyo,-1.8022,-79.5344,1,"On 2 January 2023, in Babahoyo (Los Rios), an unknown number of assailants fatally shot a man in the La Malaria sector. The victim, who was the cousin of another man killed earlier that day (coded separately), was struck by four bullets to the head and one to the back. Authorities are investigating possible connections between the recent killings. No arrests were made. 1 fatality.",Diario Extra (Ecuador),1757975685,2.0
2023-01-02,2023,Violence Against Civilians,Attack,Unidentified Gang (Ecuador),Civilians (Ecuador),Los Rios,Babahoyo,no especificado,Babahoyo,-1.8022,-79.5344,1,"On 2 January 2023, in Babahoyo (Los Rios), an unknown number of unidentified armed assailants fatally shot an informal taxi driver while he was driving through Olmedo and Garcia Moreno streets. The victim was struck by six bullets, including four shots to the head. No arrests were made and the motives remain unclear. 1 fatality.",Diario Extra (Ecuador),1757975685,2.0
2023-01-03,2023,Violence Against Civilians,Attack,Unidentified Gang (Ecuador),Civilians (Ecuador),El Oro,Machala,no especificado,Machala,-3.2586,-79.9605,1,"On 3 January 2023, in Machala (El Oro), three unidentified armed individuals shot and killed a man as he was about to enter a taxi in the Miraflores neighborhood. The victim was struck by at least 15 bullets. The taxi driver was also injured by gunfire and transported to a hospital in critical condition. The victim had reportedly been threatened and had recently been released from prison. No arrests were made. 1 fatality.",Diario Extra (Ecuador),1754409739,2.0
2023-01-03,2023,Violence Against Civilians,Attack,Unidentified Gang (Ecuador),Civilians (Ecuador),Manabi,Montecristi,no especificado,Bajo de La Palma,-1.079,-80.6972,1,"Around 3 January 2023 (as reported), near Bajo de La Palma (Manabi), a suspected unidentified gang killed a man and left his body along the road leading to Los Bajos, near the Galacticos Football Club sports complex. Authorities discovered the body of the man with multiple gunshot wounds and with his hands tied. The man had left his home to recover the stolen motorcycle of his friend, but was later found dead near Montecristi. No arrests were made. 1 fatality.",El Diario (Ecuador); Expreso,1754354897,2.0
2023-01-03,2023,Violence Against Civilians,Attack,Unidentified Armed Group (Ecuador),Civilians (Ecuador),Manabi,Pedernales,no especificado,Pedernales,0.0702,-80.0547,1,"On 3 January 2023, in Pedernales (Manabi), two armed men riding a motorcycle killed a man while he was in his vehicle in a drive-by shooting in the Torres Molinos neighborhood. The man was an ex-administrative worker at the municipality. There is no further information on the identity or motive of the attackers.1 fatality.",El Diario (Ecuador),1754409739,2.0
2023-01-03,2023,Violence Against Civilians,Attack,Unidentified Gang (Ecuador),Civilians (Ecuador),Santo Domingo De Los Tsachilas,Santo Domingo,no especificado,Santo Domingo de los Tsachilas,-0.2531,-79.1754,1,"On 3 January 2023, in Santo Domingo de los Tsachilas (Santo Domingo de los Tsachilas), three armed individuals fatally shot a man multiple times in the head at the intersection of Tsachila avenue and Rio Yanuncay road in the city center. The identities and motives of the attackers remain unknown. 1 fatality.",El Comercio (Ecuador),1754409739,2.0
2023-01-03,2023,Violence Against Civilians,Attack,Unidentified Armed Group (Ecuador),Civilians (Ecuador),Pichincha,Quito,no especificado,Quito - Quitumbe,-0.3142,-78.5533,1,"On 3 January 2023, in Quito - Quitumbe (Pichincha), two unidentified individuals beat a teenage mother and her infant after entering her home in the neighborhood of La Florida. The teenager was left unconscious after the beating and the infant, who was 10 days old, was killed immediately. She was later found by her partner and mother-in-law who arrived at the house and was taken to a hospital. The teenage mother reported to authorities that she did not know why she was attacked. 1 fatality.",El Comercio (Ecuador); El Diario (Ecuador),1754409739,2.0
2023-01-03,2023,Violence Against Civilians,Attack,Unidentified Gang (Ecuador),Civilians (Ecuador),Manabi,El Carmen,no especificado,El Carmen,-0.2711,-79.4629,1,"Around 3 January 2023 (as reported), near El Carmen (Manabi), a (suspected) unidentified gang shot and killed a man along the Paso Lateral de El Carmen bypass. Authorities discovered the body of the man with his hands tied. There is no further information on the identity or motive of the attackers.1 fatality.",El Diario (Ecuador),1754409739,2.0
